label,x,y,z
FHP,88.18368399999994,11.75788,-69.73499856382989
FKC,113.37900399999992,-19.316347999999977,-456.73499170212773
FDM,89.02352799999997,-13.437439999999981,-465.73499154255325
FDL,132.69541599999994,-5.038999999999987,-461.73499161347524
FPM,79.78524399999995,9.238348000000002,-446.7349918794327
FPL,127.65635199999994,20.156319999999994,-444.73499191489367
FSM,74.74617999999995,-18.476503999999977,-441.7349919680852
FSL,146.13291999999993,0.8399080000000083,-439.73499200354615
FCC,123.45713199999992,-11.757751999999982,-263.73499512411354
FALC,125.13681999999991,-31.074163999999996,-410.7349925177306

